,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
336,23900.0,0.0,0.0,0.67,0.2667,1.01,1.355,29.149876,768500.0,15647310848.0,0.13167,0.383,0.0619,0,-1,0,-86719707103.86955,-2984807.546452877
337,16800.0,4.0,4.0,3.22,0.6113,2.29,0.574,19.14402,11561040.0,144917757952.0,0.53016,-0.008,0.09506,0,-1,0,42550740258.3416,4066449.2551537887
338,79400.0,9.0,10.0,2.53,0.5116,1.15,1.021,19.594427,14716826.0,93614137344.0,0.12106,-0.302,0.31934,0,-1,0,-8752880236.827774,8707010.497590816
339,7687.0,7.0,3.0,2.81,0.6543,3.43,0.499,21.462364,4408252.0,18760003584.0,0.43835998,-0.053,0.081199996,0,-1,0,-83607014263.8355,564865.6935467613
340,8000.0,7.0,9.0,1.56,0.37150002,0.96,0.923,19.256485,340573.0,11408520192.0,0.29994,-0.132,0.16153999,0,-1,0,-90958497770.48169,-3290049.763083786
341,19600.0,10.0,10.0,2.34,0.4667,2.0,1.348,16.977173,1212306.0,52204359680.0,0.49922,0.391,0.1936,0,-1,0,-50162658274.33666,-3599016.698277568
342,23300.0,5.0,5.0,3.09,0.3071,3.16,1.093,12.715969,1259573.0,18941530112.0,0.0,3.381,0.16455,0,-1,0,-83425487827.0369,-2589074.0824226895
343,97000.0,10.0,5.0,1.61,0.2841,1.6,0.302,18.253386,996849.0,74142572544.0,0.16667,0.0,0.27748,0,-1,0,-28224445425.748154,-4449436.353196086
344,41700.0,10.0,4.0,0.0,0.0,0.0,2.633,9.16268,11834327.0,8424946176.0,0.25729,0.0,1.05461,0,-1,0,-93942071452.5789,8290035.978336938
345,15637.0,7.0,9.0,1.85,0.32669997,3.03,1.123,13.797101,3218103.0,19389097984.0,0.124139994,0.431,0.4179,0,-1,0,-82977919898.54254,-643493.9376815045
346,32700.0,8.0,8.0,1.8,0.2565,1.85,1.596,13.028847,2872006.0,28114352128.0,0.14105,-0.615,0.106520005,0,-1,0,-74252665768.21074,-1242121.33577055
347,36000.0,9.0,8.0,0.04,0.0116,0.08,1.765,26.618933,277217177.0,2675947864064.0,0.63846,0.836,1.1917701,1,-1,1,2573580852998.8125,196470646.35868898
348,7000.0,10.0,9.0,0.0,0.0,0.0,1.254,13.862909,27418.0,21322407936.0,0.20219,0.151,0.3923,0,-1,0,-81044610039.69722,-3890127.3912914516
349,33100.0,4.0,1.0,2.13,0.41689998,1.5,1.476,14.536344,2895600.0,48185266176.0,0.35048,-0.279,0.27493998,0,-1,0,-54181751727.93397,-1799410.6207374502
350,93176.0,9.0,9.0,0.0,0.0,0.0,0.912,31.342903,348734.0,80671039488.0,0.22226,0.027,0.0,0,-1,0,-21695978503.240524,-5286493.309961544
351,13323.0,9.0,1.0,1.97,0.38939998,3.53,1.539,15.452532,11293254.0,45889605632.0,0.48509,0.0,0.08934,0,-1,0,-56477412027.933975,6664691.832494121
352,21895.0,4.0,9.0,0.68,0.1898,0.36,1.106,27.940678,1759836.0,35038044160.0,0.32479,-0.165,0.27899998,0,-1,0,-67328973771.30026,-2554668.314836747
353,74900.0,7.0,2.0,3.49,0.3753,3.65,1.002,9.287037,3226590.0,15773257728.0,0.16063999,0.06,0.32075,0,-1,0,-86593760152.77304,-530387.3667237777
354,26400.0,3.0,3.0,0.0,0.0,0.0,1.588,9.476851,9251834.0,17252974592.0,0.36033002,-0.313,0.18954,0,-1,0,-85114043115.02023,5452053.901990281
355,5177.0,9.0,4.0,4.18,0.766,6.92,1.67,16.495813,3956395.0,61485002752.0,0.28556,0.336,0.16117,0,-1,0,-40882015126.80753,-1123517.1723622354
356,159000.0,2.0,10.0,1.42,0.3756,1.43,1.066,19.674582,11668073.0,395031838720.0,0.41081002,0.2,1.03741,3,-1,2,292664820924.7088,-3065271.689596067
357,72000.0,2.0,1.0,1.53,0.371,0.0,0.95,24.369928,2262785.0,40488554496.0,0.17748,0.062,0.0,0,-1,0,-61878463423.01888,-2209489.5282220123
358,30100.0,2.0,7.0,1.36,0.1481,1.37,0.917,12.488402,2633367.0,50871451648.0,0.15935999,-0.386,0.24933,0,-1,0,-51495566264.648926,-2139384.4875796447
359,15400.0,8.0,5.0,2.56,0.55990005,2.93,0.792,17.393238,947622.0,17580943360.0,0.20016001,0.164,0.19166,0,-1,0,-84786074587.49667,-2861643.789469093
360,3936.0,9.0,10.0,0.0,0.0,0.0,2.806,182.65958,97477713.0,201349136384.0,0.11935,-0.219,0.10812,0,-1,0,98982121153.27223,88349907.72215147
361,15758.0,1.0,9.0,0.0,0.0,0.0,1.044,23.994444,5590796.0,114384388096.0,0.15933,-0.844,0.23378,0,-1,0,12017370242.340958,-1020110.9207132799
362,18600.0,9.0,10.0,1.73,0.932,3.27,1.624,7.092025,9002736.0,8204803072.0,0.09985,0.0,-0.30945,0,-1,0,-94162214638.44121,5464827.654571798
363,61120.0,7.0,7.0,1.08,0.2631,1.42,1.495,20.429008,767732.0,77443129344.0,0.25033,0.386,0.25852,0,-1,0,-24923888633.767258,-4774059.316939448
364,16500.0,1.0,4.0,2.6,0.815,2.7,0.981,28.550095,2019414.0,54399647744.0,0.44632998,0.036,0.44254002,0,-1,0,-47967370187.89758,-2855442.315209709
365,7306.0,1.0,10.0,0.69,0.1682,0.0,1.141,25.086008,638647.0,12247003136.0,0.30777,0.418,0.34874,0,-1,0,-90120014818.20624,-3016242.4495391967
366,24400.0,7.0,8.0,0.0,0.0,0.0,1.527,13.323109,11544009.0,64449118208.0,0.19392,-0.152,0.20001,0,-1,0,-37917899452.44808,6378300.685398908
367,9750.0,6.0,5.0,1.15,0.246,1.39,1.222,17.905155,1492634.0,14325994496.0,0.24804,-0.207,0.18454,0,-1,0,-88041023434.36081,-2222425.923430623
368,319000.0,9.0,5.0,3.63,0.7669,2.8,0.53,17.29664,7125368.0,204723814400.0,0.18879,0.18,0.52304,0,-1,0,102356796552.96635,-2100246.219874529
369,81000.0,10.0,5.0,6.82,1.1915001,4.4,0.543,8.604095,44681188.0,142977253376.0,0.36653998,0.0,0.09057,0,-1,0,40610236641.715195,37242723.85538627
370,28410.0,5.0,1.0,0.59,0.0478,3.32,1.045,11.486486,23360022.0,37290860544.0,0.38138,-0.303,0.088879995,0,-1,0,-65076156763.09845,18980312.106060676
371,83100.0,10.0,5.0,3.48,0.88199997,5.26,0.561,21.550001,5984036.0,241504993280.0,0.39606,0.0,0.0,0,-1,0,139137975384.49188,-4305968.867174159
372,13200.0,7.0,8.0,3.78,0.9018,4.25,1.292,12.830348,3549755.0,49641308160.0,0.029070001,-0.999,0.07236,0,-1,0,-52725709725.61467,-1187386.2515971018
373,6403.0,4.0,6.0,3.8,0.6746,4.39,0.533,20.121796,1068860.0,11215552512.0,0.39359,0.0,0.09527001,0,-1,0,-91151465429.32333,-2556177.3005426712
374,53686.0,2.0,2.0,3.72,0.4585,3.57,1.127,11.451033,2260854.0,68021514240.0,0.0,1.038,0.11274,0,-1,0,-34345503690.6091,-3008257.909448271
375,6000.0,7.0,2.0,1.52,0.4159,0.96,1.053,26.17789,395716.0,11878215680.0,0.12461001,-0.261,0.33587003,0,-1,0,-90488802281.08281,-3248499.5200653025
376,46000.0,4.0,5.0,2.53,0.465,1.8,1.212,12.140113,2168770.0,24386195456.0,0.17267,0.0,0.18378,0,-1,0,-77980822458.99997,-1837465.046265743
377,6653.0,6.0,1.0,3.05,0.85830003,4.58,0.784,19.51366,4902173.0,26364479488.0,0.37342998,0.598,0.06341,0,-1,0,-76002538348.72571,838701.9155688989
378,19700.0,8.0,7.0,3.61,0.4266,3.78,1.169,9.841232,1466208.0,18735927296.0,0.13493,0.0,0.14091,0,-1,0,-83631090636.97101,-2376486.9196133898
379,108000.0,7.0,2.0,2.4,0.63060004,2.4,0.4,22.645552,7624377.0,394005118976.0,0.28568,0.341,0.31058002,3,-1,2,291638101064.09955,-7079227.935906116
380,66308.0,4.0,3.0,1.76,0.0208,1.54,0.351,20.207245,2883900.0,163477766144.0,0.14965999,0.19,0.36976,0,-1,0,61110748191.445724,-5147868.624200823
